beta,SE,z,p,R2_marginal,n_trials,n_subjects,electrode,kind,measure
0.16891145866733384,0.026024838180533926,6.490394195560314,8.561196196410492e-11,0.0252691002492606,1625,33,C3,real,mean_cross_to_Pz
0.2802349648202607,0.03329282211943213,8.417278770029384,0.0,0.0697956363169999,943,26,C3,pseudo,mean_cross_to_Pz
0.25590442856331114,0.02468175343768398,10.368162424497665,0.0,0.062193783710879455,1625,33,C4,real,mean_cross_to_Pz
0.27979816579292033,0.03418520429920983,8.184773837943327,2.220446049250313e-16,0.06629999774454075,943,26,C4,pseudo,mean_cross_to_Pz
0.15049034601239317,0.026136136292493544,5.7579415843349,8.514580818186346e-09,0.020004731730742104,1625,33,C5,real,mean_cross_to_Pz
0.24754796288360348,0.034509020440275935,7.173427692971748,7.314149286230531e-13,0.05162499429938767,943,26,C5,pseudo,mean_cross_to_Pz
0.20388697102004297,0.026611561623849193,7.661593629940159,1.84297022087776e-14,0.03487813487308352,1625,33,C6,real,mean_cross_to_Pz
0.23832516634354714,0.03497414633294373,6.814324045961284,9.47086853386736e-12,0.04682791295974691,943,26,C6,pseudo,mean_cross_to_Pz
0.31552788453163644,0.02438165149477895,12.941202305315663,0.0,0.09411409767474081,1625,33,CPz,real,mean_cross_to_Pz
0.37837863892667195,0.03196299279650706,11.838022845220598,0.0,0.12933264654179033,943,26,CPz,pseudo,mean_cross_to_Pz
0.242955423453725,0.025967723803617785,9.356053895639356,0.0,0.05124636883985486,1625,33,Cz,real,mean_cross_to_Pz
0.3195655093563784,0.033842956317767105,9.442600296375726,0.0,0.08632971525611406,943,26,Cz,pseudo,mean_cross_to_Pz
0.1373052130038993,0.026389588676786303,5.203006939046395,1.960895448238631e-07,0.016387429022892537,1625,33,F3,real,mean_cross_to_Pz
0.22034867692772528,0.03364779604891452,6.548680829121756,5.804756675331646e-11,0.0434890280220699,943,26,F3,pseudo,mean_cross_to_Pz
