beta,SE,z,p,R2_marginal,n_trials,n_subjects,electrode,kind,measure
0.4818424770395754,0.021659313128504765,22.246433863382585,0.0,0.2280768774397946,1625,33,C3,real,mean_same_channel
0.5261262689967047,0.02666883655654953,19.728129792279773,0.0,0.2897746328236939,943,26,C3,pseudo,mean_same_channel
0.4598761832379762,0.022719756871571423,20.241245794905755,0.0,0.20078193099187533,1625,33,C4,real,mean_same_channel
0.46336881749263714,0.028397894366530434,16.31701320921739,0.0,0.21836570009950385,943,26,C4,pseudo,mean_same_channel
0.46780086298711954,0.021610204584835462,21.64722046710236,0.0,0.22382802156682502,1625,33,C5,real,mean_same_channel
0.5674609930780188,0.027878090963233768,20.355087937204836,0.0,0.3035291230388614,943,26,C5,pseudo,mean_same_channel
0.48013407844723305,0.02320585676559876,20.69021123835436,0.0,0.20874887558356744,1625,33,C6,real,mean_same_channel
0.4739074993590767,0.02820775855268073,16.800608189906633,0.0,0.23013042269852405,943,26,C6,pseudo,mean_same_channel
0.5158560702465327,0.02071892848817713,24.897816049748727,0.0,0.27733236013465445,1625,33,CPz,real,mean_same_channel
0.5116437559879469,0.026643894410093575,19.203039469865168,0.0,0.2818616053337511,943,26,CPz,pseudo,mean_same_channel
0.5050412731656471,0.02264342290549027,22.304104607929727,0.0,0.23540599351953004,1625,33,Cz,real,mean_same_channel
0.5757145603550056,0.028111952893908557,20.47935134665633,0.0,0.30774849995710624,943,26,Cz,pseudo,mean_same_channel
0.4151072815877639,0.02183780668514028,19.008652634984042,0.0,0.1818561551033685,1625,33,F3,real,mean_same_channel
0.4995199561083137,0.02702726026001661,18.48207888267868,0.0,0.2665303680098252,943,26,F3,pseudo,mean_same_channel
0.45513183390266504,0.022901397825289632,19.873539483256806,0.0,0.19597898735655775,1625,33,F4,real,mean_same_channel
0.44727156255929,0.027123558594239004,16.49015047215411,0.0,0.2238386818957989,943,26,F4,pseudo,mean_same_channel
0.4421330813585074,0.022644105080289103,19.52530602515922,0.0,0.19080385576044584,1625,33,F7,real,mean_same_channel
0.5061877645863261,0.028757296727408208,17.60206355223525,0.0,0.24754423463830827,943,26,F7,pseudo,mean_same_channel
0.452026061659436,0.022750838108166808,19.868545479965128,0.0,0.1955713050316301,1625,33,F8,real,mean_same_channel
0.4552453777904436,0.02515708258010153,18.09611175464871,0.0,0.25883944012578997,943,26,F8,pseudo,mean_same_channel
0.44850246816615996,0.02091875494161487,21.440208531432646,0.0,0.22114825360264817,1625,33,FC3,real,mean_same_channel
0.4568862584209857,0.026129681726023864,17.485335765339602,0.0,0.24656292405175734,943,26,FC3,pseudo,mean_same_channel
0.4345213712260026,0.021942682494971773,19.802563853602418,0.0,0.19482745864551876,1625,33,FC4,real,mean_same_channel
0.480584586542941,0.028470315906682177,16.88019859414853,0.0,0.23342140995845106,943,26,FC4,pseudo,mean_same_channel
0.4828799683426448,0.02217982773283039,21.771132497476074,0.0,0.2263453489987986,1625,33,FCz,real,mean_same_channel
0.4728127226581857,0.02656269642096337,17.79987675818334,0.0,0.251512626254837,943,26,FCz,pseudo,mean_same_channel
0.4247456592697532,0.022885218469531406,18.559825410242205,0.0,0.17547701475650962,1625,33,FP1,real,mean_same_channel
0.5405286200324589,0.02376653645721138,22.743264295393306,0.0,0.3544681876672238,943,26,FP1,pseudo,mean_same_channel
0.43819115955263593,0.02338210202652512,18.740451951477382,0.0,0.17791328815883636,1625,33,FP2,real,mean_same_channel
0.5297918038238324,0.023813193275704917,22.2478269793554,0.0,0.344051251661039,943,26,FP2,pseudo,mean_same_channel
0.44325277865792023,0.020674908709566415,21.439164974538645,0.0,0.21837999298836439,1625,33,Fz,real,mean_same_channel
0.4877281133918608,0.027281863445356234,17.87737536216131,0.0,0.25471039031694115,943,26,Fz,pseudo,mean_same_channel
0.4562578686991097,0.02173419919254503,20.992623866979606,0.0,0.21449837991340845,1625,33,HEOG_left,real,mean_same_channel
0.49248929065515573,0.02759027595770333,17.850103834052103,0.0,0.2551134333903174,943,26,HEOG_left,pseudo,mean_same_channel
0.43396093741331476,0.02179765551161616,19.908606096745277,0.0,0.19621611688818102,1625,33,HEOG_right,real,mean_same_channel
0.48969709102518977,0.027511740437447797,17.79956786589318,0.0,0.25236544990911636,943,26,HEOG_right,pseudo,mean_same_channel
0.542507645730875,0.020670821584956207,26.245093524763462,0.0,0.29925206415471844,1625,33,O1,real,mean_same_channel
0.589817885357287,0.025930298540648895,22.746282092845007,0.0,0.35351673612869283,943,26,O1,pseudo,mean_same_channel
0.5256300132121768,0.020552303361094777,25.575236214505626,0.0,0.28711529452031087,1625,33,O2,real,mean_same_channel
0.6024893099271097,0.03058382201609353,19.69960816571825,0.0,0.29185953889633737,943,26,O2,pseudo,mean_same_channel
0.5281090428113481,0.02153007882740041,24.528894995927573,0.0,0.2703133553828747,1625,33,Oz,real,mean_same_channel
0.6357621691642943,0.026929157820160924,23.60869112246508,0.0,0.3717957387843659,943,26,Oz,pseudo,mean_same_channel
0.45832681899307365,0.022487635938869033,20.381280639681336,0.0,0.20365758304823725,1625,33,P10,real,mean_same_channel
